"id","card_id","year","month","day","from_time","to_time","court","created_at","updated_at","delete_flg","draw_conf_flg"
2,"86329044",2020,2,24,13,16,"3",2020/01/04 20:01:54.391,2020/01/04 21:16:14.898,"1","0"
4,"86757673",2020,2,24,13,16,"3",2020/01/04 20:42:44.024,2020/01/04 21:16:23.303,"1","0"
3,"86757664",2020,2,24,11,13,"3",2020/01/04 20:02:19.956,2020/01/04 21:16:32.774,"1","0"
5,"87483716",2020,2,24,13,16,"3",2020/01/04 20:42:54.222,2020/01/04 21:20:48.610,"1","0"
6,"87692956",2020,2,24,11,13,"3",2020/01/04 20:43:09.094,2020/01/04 21:21:19.698,"1","0"
7,"86329044",2020,2,24,13,16,"3",2020/01/04 21:22:58.845,2020/01/04 21:40:08.618,"1","0"
35,"86573853",2020,2,16,13,16,"1",2020/01/05 9:47:14.229,2020/01/05 18:12:22.318,"1","0"
36,"86814995",2020,2,16,13,16,"1",2020/01/05 9:47:33.882,2020/01/05 18:12:31.014,"1","0"
37,"85634420",2020,2,16,13,16,"1",2020/01/05 9:47:56.740,2020/01/05 18:12:44.373,"1","0"
38,"86817740",2020,2,16,13,16,"1",2020/01/05 9:48:18.764,2020/01/05 18:12:52.456,"1","0"
39,"86818777",2020,2,16,13,16,"1",2020/01/05 9:48:44.092,2020/01/05 18:13:00.057,"1","0"
40,"87058372",2020,2,16,13,16,"1",2020/01/05 9:49:05.312,2020/01/05 18:13:07.819,"1","0"
41,"85913101",2020,2,16,13,16,"1",2020/01/05 9:49:33.415,2020/01/05 18:13:15.516,"1","0"
42,"85536617",2020,2,16,13,16,"1",2020/01/05 9:50:00.101,2020/01/05 18:13:27.096,"1","0"
43,"87086314",2020,2,16,13,16,"1",2020/01/05 9:50:24.021,2020/01/05 18:13:34.729,"1","0"
44,"87244251",2020,2,16,13,16,"1",2020/01/05 9:50:50.293,2020/01/05 18:13:45.154,"1","0"
45,"87244438",2020,2,16,13,16,"1",2020/01/05 9:51:14.183,2020/01/05 18:13:55.491,"1","0"
46,"87244447",2020,2,16,13,16,"1",2020/01/05 9:51:34.812,2020/01/05 18:14:04.388,"1","0"
47,"86808957",2020,2,16,13,16,"1",2020/01/05 9:52:10.839,2020/01/05 18:14:12.094,"1","0"
25,"87242690",2020,2,8,15,17,"0",2020/01/05 9:43:21.992,2020/01/05 9:43:21.992,"1","0"
10,"87483716",2020,2,24,11,13,"3",2020/01/04 21:26:42.068,2020/01/09 19:55:04.565,"1","0"
12,"86329044",2020,2,24,11,13,"3",2020/01/04 21:41:47.371,2020/01/09 19:55:12.053,"1","0"
70,"86573853",2020,2,16,13,16,"3",2020/01/05 18:16:12.426,2020/01/09 20:10:43.828,"1","0"
71,"86814995",2020,2,16,13,16,"3",2020/01/05 18:16:44.395,2020/01/09 20:10:54.424,"1","0"
72,"85634420",2020,2,16,13,16,"3",2020/01/05 18:17:07.692,2020/01/09 20:11:01.493,"1","0"
73,"86817740",2020,2,16,13,16,"3",2020/01/05 18:17:57.118,2020/01/09 20:11:08.394,"1","0"
74,"86818777",2020,2,16,13,16,"3",2020/01/05 18:18:19.895,2020/01/09 20:11:15.332,"1","0"
75,"87058372",2020,2,16,13,16,"3",2020/01/05 18:18:42.591,2020/01/09 20:11:22.642,"1","0"
76,"85913101",2020,2,16,13,16,"3",2020/01/05 18:19:07.451,2020/01/09 20:11:29.678,"1","0"
77,"85536617",2020,2,16,13,16,"3",2020/01/05 18:19:33.563,2020/01/09 20:11:38.823,"1","0"
78,"87086314",2020,2,16,13,16,"3",2020/01/05 18:20:02.254,2020/01/09 20:11:48.491,"1","0"
79,"87244251",2020,2,16,13,16,"3",2020/01/05 18:20:26.950,2020/01/09 20:11:56.226,"1","0"
80,"87244438",2020,2,16,13,16,"3",2020/01/05 18:20:57.584,2020/01/09 20:12:06.982,"1","0"
24,"86560751",2020,2,8,15,17,"0",2020/01/05 9:43:01.145,2020/01/10 21:00:54.447,"1","0"
60,"83366232",2020,2,22,15,17,"0",2020/01/05 9:57:16.454,2020/01/10 21:01:07.677,"1","0"
26,"86583931",2020,2,8,15,17,"0",2020/01/05 9:43:42.938,2020/01/10 21:03:51.659,"1","0"
8,"86757664",2020,2,24,13,16,"3",2020/01/04 21:26:18.928,2020/01/14 19:49:07.312,"0","1"
9,"86757673",2020,2,24,13,16,"3",2020/01/04 21:26:30.109,2020/01/14 19:49:13.983,"0","1"
11,"87692956",2020,2,24,13,16,"3",2020/01/04 21:36:26.788,2020/01/14 19:49:22.102,"0","1"
13,"85033445",2020,2,8,13,15,"0",2020/01/05 9:38:20.473,2020/01/14 19:51:26.948,"0","1"
14,"84948513",2020,2,8,13,15,"0",2020/01/05 9:38:42.150,2020/01/14 19:51:33.619,"0","1"
15,"86947691",2020,2,8,13,15,"0",2020/01/05 9:39:04.587,2020/01/14 19:51:43.129,"0","1"
16,"87259413",2020,2,8,13,15,"0",2020/01/05 9:39:34.195,2020/01/14 19:51:58.732,"0","1"
17,"87259422",2020,2,8,13,15,"0",2020/01/05 9:40:04.404,2020/01/14 19:52:05.256,"0","1"
18,"84134418",2020,2,8,13,15,"0",2020/01/05 9:40:27.067,2020/01/14 19:52:11.559,"0","1"
19,"86315881",2020,2,8,13,15,"0",2020/01/05 9:40:58.240,2020/01/14 19:52:17.968,"0","1"
20,"83920187",2020,2,8,13,15,"0",2020/01/05 9:41:19.850,2020/01/14 19:52:24.391,"0","1"
21,"84808001",2020,2,8,13,15,"0",2020/01/05 9:41:41.431,2020/01/14 19:52:30.839,"0","1"
22,"86243996",2020,2,8,13,15,"0",2020/01/05 9:42:12.163,2020/01/14 19:52:37.259,"0","1"
23,"86329053",2020,2,8,13,15,"0",2020/01/05 9:42:38.748,2020/01/14 19:52:43.712,"0","1"
27,"87328259",2020,2,8,15,17,"0",2020/01/05 9:44:07.074,2020/01/14 19:52:51.116,"0","1"
28,"87328268",2020,2,8,15,17,"0",2020/01/05 9:44:33.301,2020/01/14 19:52:58.453,"0","1"
29,"87328230",2020,2,8,15,17,"0",2020/01/05 9:44:54.239,2020/01/14 19:53:04.783,"0","1"
30,"87542606",2020,2,8,15,17,"0",2020/01/05 9:45:17.131,2020/01/14 19:53:21.809,"0","1"
31,"87542615",2020,2,8,15,17,"0",2020/01/05 9:45:40.292,2020/01/14 19:54:10.327,"0","1"
32,"86585448",2020,2,8,15,17,"0",2020/01/05 9:46:04.084,2020/01/14 19:54:17.929,"0","1"
33,"86314238",2020,2,8,15,17,"0",2020/01/05 9:46:25.991,2020/01/14 19:54:24.574,"0","1"
34,"86576180",2020,2,8,15,17,"0",2020/01/05 9:46:46.007,2020/01/14 19:54:31.899,"0","1"
48,"86146771",2020,2,22,13,15,"0",2020/01/05 9:52:32.788,2020/01/14 19:54:38.169,"0","1"
49,"85632487",2020,2,22,13,15,"0",2020/01/05 9:52:55.073,2020/01/14 19:54:45.454,"0","1"
50,"86601338",2020,2,22,13,15,"0",2020/01/05 9:53:16.961,2020/01/14 20:10:37.126,"0","1"
51,"87107166",2020,2,22,13,15,"0",2020/01/05 9:53:40.882,2020/01/14 20:11:07.967,"0","1"
52,"87088869",2020,2,22,13,15,"0",2020/01/05 9:54:04.737,2020/01/14 20:11:22,"0","1"
53,"86936700",2020,2,22,13,15,"0",2020/01/05 9:54:25.769,2020/01/14 20:11:32.589,"0","1"
54,"86280178",2020,2,22,13,15,"0",2020/01/05 9:54:48.726,2020/01/14 20:11:38.985,"0","1"
55,"86949751",2020,2,22,13,15,"0",2020/01/05 9:55:10.533,2020/01/14 20:11:45.630,"0","1"
56,"86281391",2020,2,22,13,15,"0",2020/01/05 9:55:34.837,2020/01/14 20:11:52.290,"0","1"
57,"87540706",2020,2,22,13,15,"0",2020/01/05 9:56:07.132,2020/01/14 20:11:58.861,"0","1"
58,"86936711",2020,2,22,13,15,"0",2020/01/05 9:56:30.211,2020/01/14 20:12:09.377,"0","1"
59,"87531153",2020,2,22,13,15,"0",2020/01/05 9:56:55.649,2020/01/14 20:12:16.071,"0","1"
61,"85661983",2020,2,22,15,17,"0",2020/01/05 9:57:38.955,2020/01/14 20:12:26.240,"0","1"
62,"85661974",2020,2,22,15,17,"0",2020/01/05 9:58:03.556,2020/01/14 20:12:33.424,"0","1"
63,"86110458",2020,2,22,15,17,"0",2020/01/05 9:58:24.997,2020/01/14 20:12:43.361,"0","1"
64,"86110420",2020,2,22,15,17,"0",2020/01/05 9:58:45.667,2020/01/14 20:12:50.671,"0","1"
65,"83602047",2020,2,22,15,17,"0",2020/01/05 10:07:07.550,2020/01/14 20:12:58.415,"0","1"
66,"85362831",2020,2,22,15,17,"0",2020/01/05 10:12:55.938,2020/01/14 20:13:06.544,"0","1"
67,"85362804",2020,2,22,15,17,"0",2020/01/05 10:13:21.363,2020/01/14 20:13:14.697,"0","1"
68,"86693349",2020,2,22,15,17,"0",2020/01/05 10:13:43.980,2020/01/14 20:13:22.862,"0","1"
69,"85796801",2020,2,22,15,17,"0",2020/01/05 10:14:15.139,2020/01/14 20:13:31.657,"0","1"
81,"87244447",2020,2,16,13,16,"3",2020/01/05 18:21:24.386,2020/01/09 20:12:14.312,"1","0"
82,"86808957",2020,2,16,13,16,"3",2020/01/05 18:21:49.528,2020/01/09 20:12:21.592,"1","0"
83,"86678831",2020,2,16,13,16,"3",2020/01/05 18:22:44.755,2020/01/09 20:12:28.943,"1","0"
84,"84317462",2020,2,16,13,16,"3",2020/01/05 18:23:12.319,2020/01/09 20:12:38.646,"1","0"
88,"86573853",2020,2,16,13,16,"3",2020/01/09 20:40:17.633,2020/01/09 20:46:00.084,"1","0"
89,"86814995",2020,2,16,13,16,"3",2020/01/09 20:40:43.540,2020/01/09 20:46:07.765,"1","0"
90,"85634420",2020,2,16,13,16,"3",2020/01/09 20:41:09.035,2020/01/09 20:46:15.297,"1","0"
85,"87242690",2020,2,24,9,11,"3",2020/01/09 19:57:26.867,2020/01/14 19:49:28.477,"0","1"
86,"86329044",2020,2,24,9,11,"3",2020/01/09 19:59:11.587,2020/01/14 19:49:38.014,"0","1"
87,"87483716",2020,2,24,9,11,"3",2020/01/09 19:59:38.589,2020/01/14 19:49:45.163,"0","1"
91,"86573853",2020,2,16,13,16,"1",2020/01/09 20:50:46.328,2020/01/14 20:13:38.096,"0","1"
92,"86814995",2020,2,16,13,16,"1",2020/01/09 20:51:13.093,2020/01/14 20:13:53.177,"0","1"
93,"85634420",2020,2,16,13,16,"1",2020/01/09 20:51:37.144,2020/01/14 20:14:00.313,"0","1"
94,"86817740",2020,2,16,13,16,"1",2020/01/09 20:52:05.334,2020/01/14 20:14:06.552,"0","1"
95,"86818777",2020,2,16,13,16,"1",2020/01/09 20:52:33.342,2020/01/14 20:14:12.747,"0","1"
96,"87058372",2020,2,16,13,16,"1",2020/01/09 20:52:59.502,2020/01/14 20:14:21.792,"0","1"
97,"85913101",2020,2,16,13,16,"1",2020/01/09 20:53:26.207,2020/01/14 20:14:52.644,"0","1"
98,"85536617",2020,2,16,13,16,"1",2020/01/09 20:53:54.843,2020/01/14 20:15:03.611,"0","1"
