"id","year","month","day","from_time","to_time","court","created_at","updated_at","delete_flg","card_id","use_flg"
6837,2021,4,24,9,11,"0",2021/03/14 9:20:09.452,2021/03/14 9:20:09.452,"0","86817740","0"
6838,2021,4,24,9,11,"0",2021/03/14 9:20:23.881,2021/03/14 9:20:23.881,"0","87058372","0"
6839,2021,4,24,9,11,"0",2021/03/14 9:20:49.490,2021/03/14 9:20:49.490,"0","87244438","0"
6840,2021,4,24,9,11,"0",2021/03/14 9:22:50.426,2021/03/14 9:22:50.426,"0","87531153","0"
7168,2021,6,12,9,11,"0",2021/05/15 10:01:06.708,2021/05/15 10:01:06.708,"0","83920187","0"
7169,2021,6,20,11,13,"0",2021/05/15 10:04:24.988,2021/05/15 10:04:24.988,"0","87058372","0"
7170,2021,6,20,13,15,"0",2021/05/15 10:04:31.471,2021/05/15 10:04:31.471,"0","87244251","0"
6791,2021,3,28,13,15,"2",2021/02/14 9:18:35.197,2021/02/14 9:18:35.197,"0","87244251","0"
6792,2021,3,28,13,15,"2",2021/02/14 9:20:33.561,2021/02/14 9:20:33.561,"0","87540706","0"
7180,2021,5,29,13,15,"2",2021/05/25 10:45:22.270,2021/05/25 10:45:22.270,"0","86757664","0"
7181,2021,5,30,9,11,"1",2021/05/25 10:45:22.398,2021/05/25 10:45:22.398,"0","86757664","0"
1707,2020,4,18,13,15,"0",2020/03/14 7:52:04.275,2020/03/14 7:52:04.275,"0","85632487","0"
1708,2020,4,18,13,15,"0",2020/03/14 7:53:48.139,2020/03/14 7:53:48.139,"0","83366232","0"
2747,2020,8,15,15,18,"1",2020/07/14 7:19:24.910,2020/07/14 7:19:24.910,"0","85362831","0"
7182,2021,5,30,11,13,"0",2021/05/25 10:45:22.495,2021/05/25 10:45:22.495,"0","86757664","0"
7183,2021,5,30,13,15,"1",2021/05/25 10:45:22.586,2021/05/25 10:45:22.586,"0","86757664","0"
7184,2021,5,30,15,18,"2",2021/05/25 10:45:22.677,2021/05/25 10:45:22.677,"0","86757664","0"
7185,2021,6,6,9,11,"0",2021/05/25 10:45:23.240,2021/05/25 10:45:23.240,"0","86757664","0"
7186,2021,5,30,13,15,"2",2021/05/25 10:45:31.362,2021/05/25 10:45:31.362,"0","86329053","0"
6064,2020,12,30,13,16,"1",2020/11/14 21:51:07.223,2020/11/14 21:51:07.223,"0","87531153","0"
6265,2021,1,24,13,16,"2",2020/12/14 14:59:39.861,2020/12/14 14:59:39.861,"0","84948513","0"
6266,2021,1,24,13,16,"2",2020/12/14 14:59:52.137,2020/12/14 14:59:52.137,"0","86947691","0"
