"id","year","month","day","from_time","to_time","court","odds","created_at","updated_at","delete_flg","apply_court","empty_court"
21,2020,2,1,11,13,"1",4.50,2020/01/04 17:24:57.742,2020/01/10 20:47:24.181,"0",72,16
22,2020,2,1,13,16,"1",11.12,2020/01/04 17:25:08.432,2020/01/10 20:47:24.279,"0",178,16
23,2020,2,1,9,11,"2",5.38,2020/01/04 17:25:11.136,2020/01/10 20:47:30.770,"0",43,8
24,2020,2,1,11,13,"2",7.00,2020/01/04 17:25:11.310,2020/01/10 20:47:31.226,"0",56,8
25,2020,2,1,13,16,"2",9.38,2020/01/04 17:25:11.410,2020/01/10 20:47:31.334,"0",75,8
26,2020,2,1,9,11,"3",8.00,2020/01/04 17:25:14.224,2020/01/10 20:47:38.592,"0",64,8
27,2020,2,1,11,13,"3",11.62,2020/01/04 17:25:14.327,2020/01/10 20:47:38.795,"0",93,8
28,2020,2,1,13,16,"3",19.50,2020/01/04 17:25:14.422,2020/01/10 20:47:38.913,"0",156,8
29,2020,2,2,9,11,"0",6.25,2020/01/04 17:25:58.062,2020/01/10 20:47:50.894,"0",25,4
30,2020,2,2,11,13,"0",7.00,2020/01/04 17:25:58.156,2020/01/10 20:47:50.987,"0",28,4
31,2020,2,2,13,15,"0",12.75,2020/01/04 17:25:58.250,2020/01/10 20:47:51.075,"0",51,4
32,2020,2,2,15,17,"0",19.00,2020/01/04 17:25:58.350,2020/01/10 20:47:51.164,"0",76,4
33,2020,2,2,17,19,"0",1.50,2020/01/04 17:25:58.446,2020/01/10 20:47:51.256,"0",12,8
34,2020,2,2,19,21,"0",1.25,2020/01/04 17:25:58.544,2020/01/10 20:47:51.381,"0",10,8
36,2020,2,2,11,13,"1",4.94,2020/01/04 17:26:01.471,2020/01/10 20:47:59.128,"0",79,16
37,2020,2,2,13,16,"1",7.69,2020/01/04 17:26:01.572,2020/01/10 20:47:59.213,"0",123,16
38,2020,2,2,9,11,"2",9.12,2020/01/04 17:26:04.231,2020/01/10 20:48:06.051,"0",73,8
39,2020,2,2,11,13,"2",7.75,2020/01/04 17:26:04.325,2020/01/10 20:48:06.286,"0",62,8
40,2020,2,2,13,16,"2",19.88,2020/01/04 17:26:04.437,2020/01/10 20:48:06.425,"0",159,8
41,2020,2,2,9,11,"3",9.50,2020/01/04 17:34:40.233,2020/01/10 20:48:13.596,"0",76,8
42,2020,2,2,11,13,"3",12.00,2020/01/04 17:34:40.326,2020/01/10 20:48:13.746,"0",96,8
43,2020,2,2,13,16,"3",16.38,2020/01/04 17:34:40.477,2020/01/10 20:48:13.856,"0",131,8
44,2020,2,8,9,11,"0",6.62,2020/01/04 17:35:24.350,2020/01/10 20:48:22.458,"0",53,8
45,2020,2,8,11,13,"0",6.50,2020/01/04 17:35:24.441,2020/01/10 20:48:22.565,"0",52,8
46,2020,2,8,13,15,"0",8.50,2020/01/04 17:35:24.533,2020/01/10 20:48:22.704,"0",68,8
47,2020,2,8,15,17,"0",4.00,2020/01/04 17:35:24.624,2020/01/10 20:48:22.800,"0",32,8
48,2020,2,8,17,19,"0",2.50,2020/01/04 17:35:24.722,2020/01/10 20:48:22.884,"0",20,8
49,2020,2,8,19,21,"0",1.50,2020/01/04 17:35:24.816,2020/01/10 20:48:22.972,"0",12,8
50,2020,2,8,9,11,"1",6.00,2020/01/04 17:35:33.097,2020/01/10 20:48:30.750,"0",96,16
51,2020,2,8,11,13,"1",7.12,2020/01/04 17:35:33.188,2020/01/10 20:48:30.860,"0",114,16
52,2020,2,8,13,16,"1",11.00,2020/01/04 17:35:33.288,2020/01/10 20:48:30.947,"0",176,16
53,2020,2,8,9,11,"2",5.62,2020/01/04 17:35:40.028,2020/01/10 20:48:37.859,"0",45,8
54,2020,2,8,11,13,"2",8.00,2020/01/04 17:35:40.141,2020/01/10 20:48:37.961,"0",64,8
55,2020,2,8,13,16,"2",10.00,2020/01/04 17:35:40.236,2020/01/10 20:48:38.068,"0",80,8
56,2020,2,8,9,11,"3",13.38,2020/01/04 17:35:47.275,2020/01/10 20:48:45.040,"0",107,8
57,2020,2,8,11,13,"3",18.38,2020/01/04 17:35:47.491,2020/01/10 20:48:45.143,"0",147,8
58,2020,2,8,13,16,"3",23.12,2020/01/04 17:35:47.621,2020/01/10 20:48:45.310,"0",185,8
59,2020,2,9,9,11,"0",9.25,2020/01/04 17:36:07.656,2020/01/10 20:48:52.384,"0",37,4
61,2020,2,9,13,15,"0",9.75,2020/01/04 17:36:07.894,2020/01/10 20:48:52.591,"0",39,4
62,2020,2,9,15,17,"0",9.25,2020/01/04 17:36:07.989,2020/01/10 20:48:52.683,"0",37,4
64,2020,2,9,19,21,"0",0.88,2020/01/04 17:36:08.199,2020/01/10 20:48:52.902,"0",7,8
65,2020,2,9,9,11,"1",6.06,2020/01/04 17:36:15.361,2020/01/10 20:48:59.690,"0",97,16
